group	ret	mz	EC_022024	adduct	neutralMass
M349_R212_861	212.4795	349.187247931547	561.5	[M-H]-	349.187247931547
M350_R234_862	234.342	349.965095704936	970.5	[M-H]-	349.965095704936
M350_R629_863	629.0235	350.240191876981	74857	[M-H]-	350.240191876981
M350_R391_865	390.551	350.195491140295	941.5	[M-H]-	350.195491140295
M350_R826_866	825.5265	350.228458372345	7637.5	[M-H]-	350.228458372345
M350_R302_867	302.397	350.184797499532	299	[M-H]-	350.184797499532
M350_R864_868	864.481	350.31487440424	228	[M-H]-	350.31487440424
M351_R234_869	234.342	350.958444762279	873	[M-H]-	350.958444762279
M351_R846_870	845.987	351.248541370717	1609	[M-H]-	351.248541370717
M351_R644_871	644.015	351.243634602006	14862	[M-H]-	351.243634602006
M351_R396_872	396.211	351.177584817037	265	[M-H]-	351.177584817037
M351_R213_873	213.318	351.186900371237	1610	[M-H]-	351.186900371237
M352_R792_874	791.807	351.69906227768	237	[M-H]-	351.69906227768
M352_R170_875	169.791	351.854864617012	141	[M-H]-	351.854864617012
M352_R210_876	210.315	352.106571771965	307	[M-H]-	352.106571771965
M352_R386_877	386.306	352.222411347978	994.5	[M-H]-	352.222411347978
M352_R700_878	699.88	352.225686079683	109636	[M-H]-	352.225686079683
M352_R543_879	543.256	352.189628848848	448	[M-H]-	352.189628848848
M352_R293_880	293.327	352.223299016064	11456	[M-H]-	352.223299016064
M352_R209_881	208.736	352.198299559788	7720	[M-H]-	352.198299559788
M353_R201_883	201.306	353.02692584121	2185.5	[M-H]-	353.02692584121
M353_R243_886	243.358	353.226620076892	1884.5	[M-H]-	353.226620076892
M354_R382_887	382.063	354.019174967862	5167.5	[M-H]-	354.019174967862
M354_R239_888	238.85	353.945818396994	853	[M-H]-	353.945818396994
M354_R843_889	843.1815	354.25034354986	3090	[M-H]-	354.25034354986
M354_R622_890	621.528	354.236969371103	157	[M-H]-	354.236969371103
M354_R379_891	378.5245	354.237919128304	1099.5	[M-H]-	354.237919128304
M354_R704_892	703.788	354.225271634839	10197.5	[M-H]-	354.225271634839
M354_R487_893	487.302	354.23735410913	392	[M-H]-	354.23735410913
M354_R221_894	220.826	354.214306699565	1421	[M-H]-	354.214306699565
M354_R867_895	866.9805	354.327193048876	967	[M-H]-	354.327193048876
M354_R722_896	722.021	354.293862505673	733	[M-H]-	354.293862505673
M355_R382_898	382.063	355.019579639613	1195	[M-H]-	355.019579639613
M355_R210_899	210.316	355.132888992792	470	[M-H]-	355.132888992792
M355_R630_900	630.3855	355.21821969894	213	[M-H]-	355.21821969894
M355_R821_901	820.748	355.276530338479	483	[M-H]-	355.276530338479
M355_R216_902	216.321	355.218610245333	479	[M-H]-	355.218610245333
M355_R784_903	784.414	355.305803929192	16404.5	[M-H]-	355.305803929192
M355_R845_904	844.752	355.313479350983	487	[M-H]-	355.313479350983
M356_R382_906	382.063	356.016219658212	2325.5	[M-H]-	356.016219658212
M356_R202_907	202.0575	356.145730268329	400	[M-H]-	356.145730268329
M356_R293_908	293.4565	356.114080911085	205	[M-H]-	356.114080911085
