mz,ret,int,mod,kmd,HS_num
1050.61190206215,451.003,2383,0.67896682214996,0.320989808654303,61
1100.61587819379,677.733,946,0.686136513789961,0.313819659048249,63
1150.61795850559,718.116,708,0.691410385589961,0.308545450378233,64
1150.65584292606,795.503,1969,0.729294806059897,0.270658610030296,65
1100.68228385623,805.351,1700,0.752542176230008,0.247409754927958,66
1000.69304183449,888.587,1257,0.756913034490026,0.243038617478192,66
950.696692479942,889.209,731,0.757370119942038,0.242581502829694,66
1050.69083160715,836.138,30151,0.757896367149897,0.242055222007593,69
1100.69809322863,424.503,1669,0.76835154862988,0.231599372699975,70
450.778203257064,891.694,633.5,0.806945297063976,0.193003159079353,71
700.91948791312,751.181,1936.5,0.964197753119947,0.0357406584787441,72
750.919544623254,779.486,1300,0.967448023253951,0.032490180732907,72
600.930859311514,632.43,1989,0.969182031514038,0.0307560617125091,72
550.934375383398,602.458,1703,0.969504543397989,0.0304335292280484,75
400.949133609896,283.5935,535.5,0.974682089896021,0.0252556520127882,76
350.958444762279,234.342,873,0.980799682278985,0.0191376688669038,77
201.003073554459,193.797,621.5,1.01584779445901,-0.01591268202111,78
301.074887937581,211.816,858,1.09404929758102,-0.0941191802859862,79
301.086886158701,534.147,1470,1.10604751870102,-0.106118167795728,80
251.132850976052,223.081,1128,1.148818776052,-0.148892157172753,81
201.17986583414,404.702,632,1.19264007414,-0.19271625435843,82
301.173789470427,204.3095,522,1.19295083042698,-0.193027030495045,82
251.187012041482,363.667,1119,1.202979841482,-0.20305668215596,84
351.186900371237,213.318,1610,1.20925529123701,-0.20933253275706,85
251.194846650178,592.928,514.5,1.21081445017799,-0.210891791289782,85
651.216955957195,362.253,1071,1.25847223719495,-0.258552622461252,87
351.243634602006,644.015,14862,1.26598952200601,-0.266070387440891,88
401.242461941584,648.389,713.5,1.26801042158399,-0.268091416104426,88
351.248541370717,845.987,1609,1.27089629071702,-0.270977469573154,88
601.233424195169,237.346,630,1.27174691516905,-0.271828148359077,91
551.244687628277,193.797,13213.5,1.279816788277,-0.279898536932478,92
751.234847549756,454.689,1894,1.28275094975595,-0.282832885831795,92
301.267296618734,747.295,1528,1.28645797873401,-0.286540151597308,94
401.26838571755,868.832,840,1.29393419755002,-0.294016847958915,95
451.271886698534,640.609,2295,1.30062873853399,-0.300711816558589,96
501.273740953127,241.856,1917.5,1.305676553127,-0.30575995358214,97
401.28216491724,780.718,6240,1.30771339723998,-0.307796927799131,97
401.287824076907,723.322,1933,1.31337255690698,-0.313456448946511,99
501.281976293611,775.8055,11045,1.31391189361102,-0.313995820100843,99
551.282234637823,628.341,8139,1.31736379782296,-0.317447944804144,99
451.298799838468,789.9585,9585,1.32754187846803,-0.327626675576937,102
501.296233958319,453.459,61310,1.32816955831902,-0.328254395521128,102
401.313381130961,857.107,3218,1.33892961096097,-0.339015135464479,104
451.311821561134,625.616,615,1.34056360113402,-0.340649230009149,104
501.316552861065,682.943,15804,1.34848846106502,-0.348574596142726,106
551.317623764063,702.485,3238,1.352752924063,-0.352839331534483,106
451.331003482713,865.7155,936,1.35974552271301,-0.35983237683871,108
751.3139723703,740.108,1197,1.3618757703,-0.361962760495885,108
601.340727598473,788.1095,96083.5,1.37905031847299,-0.379138405697972,110
551.353902153675,811.509,30159,1.38903131367499,-0.389120038438818,111
501.369662082907,810.277,6979.5,1.40159768290698,-0.401687210351156,112
651.368846934373,682.943,8361.5,1.41036321437298,-0.410453301717894,113
651.370284067095,857.089,23335.5,1.41180034709498,-0.41189052623713,113
701.385091873027,790.575,2131,1.42980171302702,-0.429893042011486,115
801.38580559013,640.609,9774,1.43690255012996,-0.436994332682275,116
601.401071679811,876.826,1408,1.43939439981102,-0.439486341531051,116
651.404442395784,791.807,6328,1.44595867578403,-0.446051036799076,118
851.39398549953,667.0185,566,1.44827601953,-0.448368528565879,118
751.417623526099,639.245,1095,1.46552692609896,-0.465620537041332,120
651.427478884952,702.485,1539,1.46899516495205,-0.469088997429253,120
551.436176594839,703.788,1237,1.47130575483902,-0.471399734905845,122
801.427223183244,640.609,527,1.47832014324399,-0.47841457135678,123
551.459053731844,633.793,1643,1.49418289184405,-0.494278333194302,124
701.454394972016,881.766,927,1.49910481201596,-0.499200567755338,124
801.510425153534,869.414,4491,1.56152211353401,0.43837814380413,126
701.52602597776,728.531,6022,1.57073581776001,0.429163851050134,127
851.52004364424,881.766,22622.5,1.57433416423999,0.425565274724818,127
951.532234289761,854.623,2357,1.59291192976104,0.40698632254373,129
801.542930364011,887.965,31610,1.59402732401099,0.405870857047717,129
951.548621152322,632.43,1427.5,1.60929879232197,0.390598413267412,131
751.563727917838,825.048,1384,1.61163131783803,0.388265738760651,131
651.574471608471,829.972,928,1.61598788847095,0.383908889850545,133
901.559749548835,891.694,8482,1.61723362883504,0.382663069914429,133
901.560594498354,962.03,11720,1.61807857835402,0.381818066424103,133
851.571871075002,883.004,12344,1.62616159500203,0.373734533471179,136
801.576688002263,783.182,27910,1.62778496226304,0.372111062516979,136
751.595662194739,963.263,694,1.64356559473902,0.356329422048816,138
901.589329083635,672.524,2482,1.64681316363499,0.353081645713473,138
851.59624137021,800.426,28323.5,1.65053189021,0.349362681603679,140
